Company name,Rating,Reviews,Company type,Office,Highly Rated For,Critically Rated For
International Automotive Components,3.9,277,Auto Components,Pune +14 other locations,Skill Development / Learning,"Promotions / Appraisal, Salary & Benefits"
Victora Tool Engineers,3.7,277,Auto Components,Faridabad +10 other locations,None,"Promotions / Appraisal, Salary & Benefits, Work Life Balance"
Princess Cruises,4.3,278,Travel & Tourism,Mumbai +13 other locations,"Company Culture, Job Security, Salary & Benefits",None
L&T Defence,3.9,278,Defence & Aerospace,Pune +17 other locations,"Job Security, Skill Development / Learning, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
Tyger Capital,4.2,276,NBFC,Mumbai +87 other locations,"Work Life Balance, Company Culture, Salary & Benefits",None
Pfizer Products India,4.1,276,Pharma,Visakhapatnam +13 other locations,"Work Life Balance, Company Culture, Skill Development / Learning","Promotions / Appraisal, Job Security"
YKK,4.0,276,Fashion & Textile,Rewari +19 other locations,"Job Security, Work Life Balance, Company Culture","Promotions / Appraisal, Skill Development / Learning"
Consolidated Construction Consortium,4.4,276,Engineering & Construction,Chennai +28 other locations,"Skill Development / Learning, Company Culture, Work Satisfaction",None
Servion Global Solutions,3.5,276,IT Services & Consulting,Chennai +13 other locations,None,"Promotions / Appraisal, Job Security, Skill Development / Learning"
SML Isuzu,4.1,276,Automobile,Chandigarh +45 other locations,"Work Life Balance, Job Security, Work Satisfaction",None
Treebo Hotels,3.3,276,Internet,Bangalore / Bengaluru +36 other locations,None,"Job Security, Promotions / Appraisal, Work Satisfaction"
Expedia Group,3.9,276,Internet,Gurgaon / Gurugram +11 other locations,"Work Life Balance, Salary & Benefits, Company Culture","Promotions / Appraisal, Job Security"
ZF India Technology Center,3.7,276,Auto Components,Hyderabad / Secunderabad +5 other locations,"Job Security, Work Life Balance","Promotions / Appraisal, Skill Development / Learning, Work Satisfaction"
TresVista,3.0,276,Financial Services,Pune +11 other locations,None,"Work Life Balance, Work Satisfaction, Company Culture"
The Hershey Company,4.0,275,Food Processing,Mumbai +57 other locations,"Company Culture, Job Security, Salary & Benefits",Promotions / Appraisal
Nyati Group,4.2,275,Real Estate,Pune +12 other locations,"Job Security, Salary & Benefits, Company Culture",None
Aditya Birla Housing Finance,3.8,275,Financial Services,Mumbai +71 other locations,None,Promotions / Appraisal
Carraro,4.0,275,Industrial Machinery,Pune +2 other locations,"Job Security, Work Life Balance",None
McNROE,4.0,276,FMCG,Kolkata +49 other locations,Salary & Benefits,"Promotions / Appraisal, Job Security"
Vini Cosmetics,3.7,275,Beauty & Personal Care,Mumbai +79 other locations,None,"Promotions / Appraisal, Job Security, Company Culture"
Baramati Agro,3.9,275,FMCG,Pune +34 other locations,None,None
Mitsubishi Electric Automotive India,4.4,275,Automobile,Gurgaon / Gurugram +15 other locations,"Company Culture, Salary & Benefits, Work Life Balance",None
Kelly Services,4.3,274,Recruitment,Bangalore / Bengaluru +35 other locations,"Company Culture, Work Life Balance, Work Satisfaction",None
Vasan Eye Care Hospitals,3.9,274,Healthcare,Bangalore / Bengaluru +69 other locations,"Work Life Balance, Work Satisfaction",Promotions / Appraisal
Vasan Eye Care Hospitals,3.9,274,Healthcare,Bangalore / Bengaluru +69 other locations,"Work Life Balance, Work Satisfaction",Promotions / Appraisal
ERA Group,3.7,274,Power,New Delhi +37 other locations,Skill Development / Learning,"Promotions / Appraisal, Job Security"
Global Calcium,3.9,274,Pharma,Hosur +4 other locations,"Job Security, Work Life Balance",None
Ipsos,3.4,274,Analytics & KPO,Mumbai +27 other locations,None,"Promotions / Appraisal, Work Life Balance, Work Satisfaction"
New Opportunity Consultancy,4.3,274,Recruitment,Coimbatore +112 other locations,"Work Life Balance, Company Culture, Work Satisfaction",None
KEPCO Plant Service & Engineering,3.8,274,Engineering & Construction,Bhavnagar +21 other locations,None,"Promotions / Appraisal, Job Security, Work Life Balance"
L&T–MHI Power Boilers,3.9,274,Industrial Machinery,Surat +20 other locations,"Work Life Balance, Job Security, Skill Development / Learning",Promotions / Appraisal
Nutricia,3.6,274,Fitness & Wellness,Mumbai +56 other locations,None,"Promotions / Appraisal, Work Satisfaction, Company Culture"
Arabian Industries,3.9,273,Oil & Gas,Muscat +16 other locations,Work Life Balance,Promotions / Appraisal
Fluper,4.1,273,IT Services & Consulting,Noida +2 other locations,"Skill Development / Learning, Company Culture, Work Satisfaction",None
Dixit Infotech Services,4.1,273,IT Services & Consulting,Mumbai +35 other locations,"Company Culture, Work Life Balance, Work Satisfaction",None
Watertec India,3.9,273,Building Material,Coimbatore +59 other locations,Salary & Benefits,Promotions / Appraisal
Polybond India,3.9,272,Auto Components,Pune +11 other locations,None,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning"
MNC Group,4.3,272,Investment Banking / Venture Capital / Private Equity,Bangalore / Bengaluru +43 other locations,"Work Life Balance, Skill Development / Learning, Company Culture",None
Kokuyo Camlin,3.9,272,FMCG,Mumbai +52 other locations,"Job Security, Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits"
TimesPro,4.1,272,N/A,Mumbai +19 other locations,"Work Life Balance, Salary & Benefits, Company Culture",None
Vedant Fashions,4.1,272,Fashion & Textile,Kolkata +42 other locations,"Company Culture, Work Satisfaction, Job Security",Promotions / Appraisal
Paragon Digital Services,3.3,273,Marketing & Advertising,Chennai +7 other locations,None,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits"
Ambuja Neotia,4.0,272,Real Estate,Kolkata +14 other locations,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
Paragon Footwear,4.0,272,Fashion & Textile,Bangalore / Bengaluru +47 other locations,"Job Security, Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits"
CloudFoundation,4.9,272,N/A,Hyderabad / Secunderabad +10 other locations,"Company Culture, Work Satisfaction, Job Security",None
Zf Wind Power,4.1,273,N/A,Coimbatore +7 other locations,"Job Security, Company Culture, Skill Development / Learning",None
Aliens Group,3.3,272,Real Estate,Hyderabad / Secunderabad +5 other locations,None,"Work Life Balance, Company Culture, Job Security"
Zydex Industries,4.0,271,Chemicals,Vadodara +64 other locations,"Company Culture, Work Life Balance, Skill Development / Learning",None
Top Office Pros Business Services,4.9,271,Logistics,Pune +7 other locations,"Work Life Balance, Work Satisfaction, Skill Development / Learning",None
Copeland,3.9,271,Electronics Manufacturing,Pune +25 other locations,"Work Life Balance, Company Culture",Promotions / Appraisal
IB Group,3.8,270,Food Processing,Rajnandgaon +60 other locations,None,"Promotions / Appraisal, Job Security, Company Culture"
Subway,4.2,271,Hospitality,New Delhi +56 other locations,"Skill Development / Learning, Work Life Balance, Work Satisfaction",None
Premier Energies,4.1,271,Power,Hyderabad / Secunderabad +14 other locations,"Company Culture, Work Life Balance, Job Security",None
CareEdge Ratings,2.9,271,Financial Services,Mumbai +18 other locations,None,"Promotions / Appraisal, Salary & Benefits, Company Culture"
Roquette Riddhi Siddhi,4.0,271,N/A,Mumbai +17 other locations,"Company Culture, Work Life Balance",Promotions / Appraisal
Asort Company,4.4,271,Internet,Gurgaon / Gurugram +54 other locations,"Skill Development / Learning, Company Culture, Work Life Balance",None
Tata Digital,2.9,271,IT Services & Consulting,Mumbai +8 other locations,None,"Promotions / Appraisal, Company Culture, Work Satisfaction"
Western Union,3.7,271,FinTech,Pune +18 other locations,Salary & Benefits,Promotions / Appraisal
LKQ INDIA,3.6,271,IT Services & Consulting,Bangalore / Bengaluru +3 other locations,"Job Security, Company Culture, Work Life Balance","Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
Western Digital,3.5,270,Consumer Electronics & Appliances,Bangalore / Bengaluru +9 other locations,None,"Promotions / Appraisal, Job Security, Work Satisfaction"
INFOSEC VENTURES,3.9,271,N/A,Gurgaon / Gurugram +5 other locations,"Job Security, Salary & Benefits, Skill Development / Learning",None
Koenig Solutions,4.0,270,Education & Training,New Delhi +15 other locations,"Skill Development / Learning, Work Satisfaction, Company Culture",None
Robosoft Technologies,3.4,270,IT Services & Consulting,Bangalore / Bengaluru +10 other locations,None,"Job Security, Promotions / Appraisal, Work Satisfaction"
Core Integra Consulting Services,3.4,270,Recruitment,Mumbai +69 other locations,None,"Promotions / Appraisal, Salary & Benefits, Work Life Balance"
Core Integra Consulting Services,3.4,270,Recruitment,Mumbai +69 other locations,None,"Promotions / Appraisal, Salary & Benefits, Work Life Balance"
Titan Laboratories,3.7,270,Pharma,Mumbai +13 other locations,Job Security,"Promotions / Appraisal, Work Satisfaction"
Robosoft Technologies,3.4,270,IT Services & Consulting,Bangalore / Bengaluru +10 other locations,None,"Job Security, Promotions / Appraisal, Work Satisfaction"
AirAsia,3.6,270,Aviation,Bangalore / Bengaluru +24 other locations,Job Security,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits"
ANTOLIN,3.9,270,Auto Components,Pune +15 other locations,"Job Security, Work Life Balance",Promotions / Appraisal
L&T Transportation Infrastructure,4.6,269,Engineering & Construction,Mumbai +37 other locations,"Job Security, Skill Development / Learning, Company Culture",None
Smart Value Products And Services,4.2,269,FMCG,Kolkata +70 other locations,"Skill Development / Learning, Company Culture, Job Security",None
Lloyd Insulations,3.5,269,Industrial Machinery,New Delhi +35 other locations,None,"Promotions / Appraisal, Salary & Benefits, Company Culture"
TRL Krosaki Refractories,3.9,269,Metals & Mining,Jharsuguda +19 other locations,None,None
Protium Finance,3.9,269,Financial Services,Mumbai +62 other locations,Salary & Benefits,None
Parul University,3.5,269,Education & Training,Vadodara +30 other locations,None,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Amartex Industries,4.0,269,Fashion & Textile,Panchkula +18 other locations,"Skill Development / Learning, Salary & Benefits, Company Culture",None
Sunflag Iron and Steel,4.0,268,Iron & Steel,Nagpur +13 other locations,"Skill Development / Learning, Job Security",Promotions / Appraisal
Zuari Cement,4.3,268,Building Material,Kadapa +34 other locations,"Job Security, Work Life Balance, Company Culture",None
Hindustan Wellness,4.1,268,Healthcare,Gurgaon / Gurugram +15 other locations,"Skill Development / Learning, Company Culture, Work Life Balance",None
Mahindra Last Mile Mobility,3.8,268,Automobile,Bangalore / Bengaluru +15 other locations,"Job Security, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits"
Soma Enterprises,4.2,268,Engineering & Construction,Bangalore / Bengaluru +46 other locations,"Skill Development / Learning, Company Culture, Work Satisfaction",None
Nobel Hygiene,3.6,268,Healthcare,Mumbai +60 other locations,None,"Job Security, Promotions / Appraisal, Work Satisfaction"
Qentelli,4.1,268,IT Services & Consulting,Hyderabad / Secunderabad +2 other locations,"Company Culture, Work Life Balance, Work Satisfaction",None
RND Softech,3.4,268,BPO,Coimbatore +6 other locations,None,"Promotions / Appraisal, Salary & Benefits, Company Culture"
Sagar Cements,4.3,268,Building Material,Hyderabad / Secunderabad +41 other locations,"Job Security, Work Life Balance, Company Culture",None
Mobiloitte Technologies,3.0,267,IT Services & Consulting,New Delhi +5 other locations,None,"Job Security, Company Culture, Salary & Benefits"
Khimji Ramdas,4.0,267,Retail,Ahmedabad +31 other locations,Job Security,Promotions / Appraisal
Selec Controls,3.6,267,Electronics Manufacturing,Mumbai +20 other locations,None,"Promotions / Appraisal, Company Culture, Work Satisfaction"
Cygnet Infotech,3.6,267,IT Services & Consulting,Ahmedabad +11 other locations,None,"Promotions / Appraisal, Job Security"
Halliburton,3.7,267,Engineering & Construction,Bangalore / Bengaluru +23 other locations,Salary & Benefits,"Promotions / Appraisal, Work Satisfaction, Job Security"
MindGate Solutions,3.2,267,IT Services & Consulting,Mumbai +8 other locations,None,"Work Life Balance, Promotions / Appraisal, Work Satisfaction"
Zeetech Management And Marketing,4.2,268,N/A,Ranchi +35 other locations,"Company Culture, Work Satisfaction, Skill Development / Learning",None
Kunal Structure,3.7,267,Real Estate,Ahmedabad +24 other locations,None,"Promotions / Appraisal, Job Security"
SALARPURIA SATTVA,4.2,267,Real Estate,Bangalore / Bengaluru +13 other locations,"Work Life Balance, Job Security, Company Culture",None
IIT Bombay,4.6,267,Education & Training,Mumbai +9 other locations,"Skill Development / Learning, Company Culture, Work Life Balance",None
Ajio Business,3.7,267,N/A,Bangalore / Bengaluru +99 other locations,Salary & Benefits,"Promotions / Appraisal, Job Security, Work Satisfaction"
Walplast Products,4.0,267,Engineering & Construction,Mumbai +47 other locations,"Work Life Balance, Company Culture",Promotions / Appraisal
Globtier Infotech Limited,3.5,267,IT Services & Consulting,Noida +34 other locations,None,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits"
Hollister Medical,4.1,266,Medical Equipment,Rewari +9 other locations,"Company Culture, Job Security, Work Life Balance",Promotions / Appraisal
Maharashtra Hybrid Seed Company,4.1,266,Agriculture,Aurangabad +60 other locations,"Skill Development / Learning, Company Culture, Work Satisfaction",None
Windlas Biotech,4.0,266,Pharma,Dehradun +11 other locations,"Work Life Balance, Salary & Benefits",None
InnovationM,4.3,266,IT Services & Consulting,Noida +6 other locations,"Skill Development / Learning, Work Life Balance, Work Satisfaction",None
HyScaler,4.5,266,IT Services & Consulting,Bhubaneswar +3 other locations,"Skill Development / Learning, Company Culture, Work Satisfaction",None
Joyalukkas,4.3,266,Retail,Bangalore / Bengaluru +62 other locations,"Salary & Benefits, Job Security, Company Culture",None
VST Industries,4.0,266,FMCG,Hyderabad / Secunderabad +72 other locations,None,Promotions / Appraisal
Yara Fertilisers,4.0,266,Agro Chemicals,Gurgaon / Gurugram +53 other locations,"Salary & Benefits, Skill Development / Learning, Company Culture",None
Fosroc India,4.4,266,Chemicals,Bangalore / Bengaluru +41 other locations,"Company Culture, Work Life Balance, Job Security",None
Ubisoft Entertainment,3.9,266,Gaming,Pune +6 other locations,"Work Life Balance, Job Security, Company Culture","Salary & Benefits, Promotions / Appraisal"
B S R & Co Llp,3.5,266,Accounting & Auditing,Mumbai +20 other locations,Job Security,"Work Life Balance, Work Satisfaction, Promotions / Appraisal"
Uneecops Technologies,3.8,266,IT Services & Consulting,Noida +17 other locations,"Job Security, Company Culture",Promotions / Appraisal
AXIS MY INDIA,3.9,265,Analytics & KPO,Mumbai +19 other locations,"Salary & Benefits, Skill Development / Learning, Work Life Balance",None
Centre For Sight,3.9,265,Healthcare,New Delhi +28 other locations,Work Life Balance,Promotions / Appraisal
Yum!,4.2,265,Hospitality,Gurgaon / Gurugram +28 other locations,"Company Culture, Job Security, Work Life Balance",None
Aptean,3.3,265,Software Product,Bangalore / Bengaluru +4 other locations,None,"Promotions / Appraisal, Work Satisfaction, Company Culture"
Valvoline Cummins,4.0,265,Auto Components,Gurgaon / Gurugram +55 other locations,"Company Culture, Work Life Balance, Salary & Benefits",Promotions / Appraisal
Civica India,3.5,265,IT Services & Consulting,Vadodara +4 other locations,Work Life Balance,"Promotions / Appraisal, Job Security, Salary & Benefits"
Concord Biotech,3.6,266,Pharma,Ahmedabad +15 other locations,Job Security,"Salary & Benefits, Promotions / Appraisal, Company Culture"
Vaibhav Global,3.4,265,Jewellery,Jaipur +9 other locations,None,"Job Security, Promotions / Appraisal, Skill Development / Learning"
VSynergize Outsourcing,4.0,264,Marketing & Advertising,Pune +2 other locations,"Salary & Benefits, Work Life Balance, Skill Development / Learning",None
Gyproc,4.1,265,N/A,Mumbai +35 other locations,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal
InfoService,4.1,264,IT Services & Consulting,Bangalore / Bengaluru +31 other locations,"Work Life Balance, Job Security, Company Culture",None
Endava,3.5,264,IT Services & Consulting,Bangalore / Bengaluru +9 other locations,None,"Promotions / Appraisal, Skill Development / Learning, Company Culture"
NTPC GE Power Services,3.7,264,Oil & Gas,Jharsuguda +22 other locations,None,"Promotions / Appraisal, Company Culture, Work Satisfaction"
Bain & Company,3.8,264,Management Consulting,Gurgaon / Gurugram +7 other locations,"Salary & Benefits, Company Culture","Work Satisfaction, Work Life Balance, Promotions / Appraisal"
Personiv,3.7,264,BPO,Coimbatore +9 other locations,None,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits"
NTPC GE Power Services,3.7,264,Oil & Gas,Jharsuguda +22 other locations,None,"Promotions / Appraisal, Company Culture, Work Satisfaction"
Cavisson Systems,2.3,264,IT Services & Consulting,Noida +3 other locations,None,"Company Culture, Salary & Benefits, Work Life Balance"
Satin Finserv,4.0,264,NBFC,Gurgaon / Gurugram +77 other locations,"Work Life Balance, Salary & Benefits, Job Security",None
Siemens Healthcare,4.4,265,Healthcare,Bangalore / Bengaluru +22 other locations,"Work Life Balance, Job Security, Company Culture",None
AIS Glass Solutions,3.7,264,Building Material,Chennai +29 other locations,None,"Salary & Benefits, Promotions / Appraisal, Work Life Balance"
Shiash Info Solutions,3.2,264,IT Services & Consulting,Chennai +6 other locations,None,"Salary & Benefits, Promotions / Appraisal, Job Security"
Arundhati Jewellers,4.7,264,Jewellery,Bhubaneswar +7 other locations,"Company Culture, Skill Development / Learning, Job Security",None
Indo Farm Equipment,3.2,263,Industrial Machinery,Baddi +38 other locations,None,"Job Security, Promotions / Appraisal, Work Satisfaction"
Nature's Basket,3.8,263,Internet,Mumbai +10 other locations,None,Promotions / Appraisal
Shriram Group,4.0,263,Financial Services,Chennai +119 other locations,Company Culture,None
IT By Design,4.0,263,IT Services & Consulting,Chandigarh +11 other locations,"Skill Development / Learning, Company Culture, Work Life Balance",None
Cactus Communications,3.7,263,Software Product,Mumbai +12 other locations,None,"Promotions / Appraisal, Salary & Benefits"
The Phoenix Mills,3.8,263,Real Estate,Mumbai +15 other locations,None,Promotions / Appraisal
CEVA Logistics,3.8,263,Logistics,Chennai +39 other locations,None,Promotions / Appraisal
SOTC Travel Limited,3.8,263,Travel & Tourism,Mumbai +32 other locations,None,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
KrazyBee,3.7,264,Internet,Bangalore / Bengaluru +11 other locations,None,"Promotions / Appraisal, Work Satisfaction, Job Security"
Sarvodaya Hospital,3.9,263,Healthcare,Faridabad +16 other locations,"Skill Development / Learning, Work Life Balance",Promotions / Appraisal
Shakti Pumps,3.8,263,Industrial Machinery,Indore +35 other locations,None,"Promotions / Appraisal, Salary & Benefits"
InfodriveIndia,4.3,263,Other,New Delhi +3 other locations,"Skill Development / Learning, Company Culture, Work Life Balance",None
Videocon Industries Ltd.,4.0,262,Consumer Electronics & Appliances,Aurangabad +61 other locations,"Work Life Balance, Company Culture, Skill Development / Learning",None
Hyundai Construction Equipment,4.4,262,Industrial Machinery,Pune +35 other locations,"Work Life Balance, Company Culture, Job Security",None
InvestoXpert,4.6,262,Real Estate,Noida +11 other locations,"Company Culture, Skill Development / Learning, Work Life Balance",None
Uni Cards,4.3,262,FinTech,Bangalore / Bengaluru +8 other locations,"Salary & Benefits, Company Culture, Skill Development / Learning",None
ReachLocal Services,3.7,262,Marketing & Advertising,Mumbai +5 other locations,Work Life Balance,Promotions / Appraisal
Entigrity Solutions,4.1,262,Recruitment,Ahmedabad +16 other locations,"Skill Development / Learning, Salary & Benefits, Company Culture",None
Multiplier Brand Solutions,3.7,262,Marketing & Advertising,New Delhi +61 other locations,None,"Promotions / Appraisal, Job Security, Work Satisfaction"
Angelique International,4.6,262,Engineering & Construction,Noida +18 other locations,"Work Satisfaction, Company Culture, Work Life Balance",None
Everest Spices,3.8,262,FMCG,Mumbai +59 other locations,None,Promotions / Appraisal
Cadence Design Systems,4.1,262,Semiconductors,Noida +13 other locations,"Company Culture, Job Security, Work Life Balance",None
Harsha Engineers,4.1,262,Auto Components,Ahmedabad +8 other locations,"Job Security, Skill Development / Learning",Promotions / Appraisal
Kyndal India,3.8,262,N/A,Bangalore / Bengaluru +11 other locations,"Work Life Balance, Skill Development / Learning, Company Culture","Promotions / Appraisal, Salary & Benefits"
Bombardier Transportation,4.1,261,Urban Transport,Vadodara +11 other locations,"Work Life Balance, Company Culture, Work Satisfaction",None
Sabre,4.0,261,Software Product,Bangalore / Bengaluru +10 other locations,"Work Life Balance, Company Culture, Salary & Benefits","Job Security, Promotions / Appraisal"
Sata Vikas India,4.0,261,Auto Components,Palwal +13 other locations,Skill Development / Learning,Promotions / Appraisal
Global Aluminium,3.9,261,Metals & Mining,Hyderabad / Secunderabad +15 other locations,Skill Development / Learning,None
Adani Solar,3.9,261,Power,Mundra +19 other locations,Skill Development / Learning,"Promotions / Appraisal, Work Life Balance, Salary & Benefits"
Vishwa Samudra Engineering,3.9,262,Engineering & Construction,Hyderabad / Secunderabad +30 other locations,None,"Promotions / Appraisal, Company Culture, Work Satisfaction"
HungerBox,3.9,261,Internet,Bangalore / Bengaluru +14 other locations,Work Life Balance,Promotions / Appraisal
Molecular Connections,3.4,261,IT Services & Consulting,Bangalore / Bengaluru +9 other locations,None,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Somic ZF Components,4.2,261,Auto Components,Gurgaon / Gurugram +13 other locations,"Company Culture, Work Satisfaction, Work Life Balance",None
Molecular Connections,3.4,261,IT Services & Consulting,Bangalore / Bengaluru +9 other locations,None,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Cooper Corporation,3.8,261,Auto Components,Satara +10 other locations,None,"Promotions / Appraisal, Job Security, Company Culture"
Eaton India Innovation Center,4.1,261,Engineering & Construction,Pune +2 other locations,"Job Security, Salary & Benefits, Company Culture",None
ACB (India),3.6,261,Oil & Gas,Korba +23 other locations,Job Security,"Promotions / Appraisal, Salary & Benefits, Company Culture"
AppInventiv Technologies,3.6,261,Software Product,Noida +9 other locations,Company Culture,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Halonix Technologies,4.1,260,Electronics Manufacturing,Noida +42 other locations,"Work Life Balance, Company Culture, Job Security",None
SKH Y-TEC,4.0,260,Auto Components,Ahmedabad +19 other locations,Job Security,Promotions / Appraisal
Hygienic Research Institute,4.2,260,Beauty & Personal Care,Mumbai +50 other locations,"Company Culture, Work Life Balance, Job Security",None
L&T Infrastructure Development Projects,4.2,260,Engineering & Construction,Chennai +54 other locations,"Job Security, Skill Development / Learning, Company Culture",None
Conviction HR,4.3,260,Recruitment,Mumbai +12 other locations,"Skill Development / Learning, Salary & Benefits, Work Satisfaction",None
Royal Research,2.0,260,Analytics & KPO,Kolkata +6 other locations,None,"Salary & Benefits, Work Satisfaction, Company Culture"
Al Tasnim Enterprises,3.5,260,Engineering & Construction,Muscat +17 other locations,None,"Promotions / Appraisal, Company Culture, Salary & Benefits"
Rahee Infratech,4.1,260,Engineering & Construction,Kolkata +33 other locations,"Work Life Balance, Job Security, Company Culture",None
SPML Infra,3.5,260,Engineering & Construction,Kolkata +47 other locations,None,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
Nestaway,4.0,260,Internet,Bangalore / Bengaluru +13 other locations,Work Life Balance,"Job Security, Promotions / Appraisal"
Tega Industries,3.8,260,Industrial Machinery,Kolkata +16 other locations,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Thyssenkrupp Industrial Solutions,4.1,262,Industrial Machinery,Mumbai +21 other locations,"Company Culture, Work Life Balance, Salary & Benefits",Promotions / Appraisal
Nabard Financial Services,4.1,260,NBFC,Bangalore / Bengaluru +101 other locations,"Work Life Balance, Salary & Benefits, Company Culture",None
Nava Limited,3.8,260,Metals & Mining,Hyderabad / Secunderabad +25 other locations,Work Life Balance,"Promotions / Appraisal, Salary & Benefits"
Nava Limited,3.8,260,Metals & Mining,Hyderabad / Secunderabad +25 other locations,Work Life Balance,"Promotions / Appraisal, Salary & Benefits"
Orix Auto Infrastructure Services,4.2,260,Logistics,New Delhi +20 other locations,"Company Culture, Work Life Balance, Job Security",None
Mirza International,3.8,260,Fashion & Textile,New Delhi +29 other locations,None,Promotions / Appraisal
Avalara Technologies,3.6,261,Software Product,Pune +5 other locations,Work Life Balance,"Promotions / Appraisal, Job Security, Work Satisfaction"
MN Dastur & Company,4.1,260,Metals & Mining,Kolkata +12 other locations,"Work Life Balance, Company Culture, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits"
Zypp Electric,3.9,260,Internet,Gurgaon / Gurugram +8 other locations,"Salary & Benefits, Skill Development / Learning, Company Culture",None
Lafarge,4.3,259,Building Material,Mumbai +75 other locations,"Job Security, Company Culture, Skill Development / Learning",None
Miraj Group,4.6,259,Printing & Publishing,Udaipur +31 other locations,"Company Culture, Work Satisfaction, Work Life Balance",None
IndianOil Adani Ventures,4.1,259,N/A,Paradip +26 other locations,"Skill Development / Learning, Company Culture, Job Security",None
Infovision,3.5,259,IT Services & Consulting,Pune +7 other locations,None,"Job Security, Promotions / Appraisal, Skill Development / Learning"
SMS Infrastructure,4.1,259,Engineering & Construction,Nagpur +42 other locations,"Job Security, Work Life Balance",Promotions / Appraisal
Bluechip Corporate Investment Centre,4.0,259,Accounting & Auditing,Mumbai +81 other locations,"Salary & Benefits, Job Security, Company Culture",Promotions / Appraisal
Thomson Digital,3.9,259,Printing & Publishing,Noida +8 other locations,"Salary & Benefits, Work Life Balance",None
Rheinmetall Automotive,4.0,259,Auto Components,Pune +15 other locations,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
Leap Finance,4.0,259,Financial Services,Bangalore / Bengaluru +11 other locations,"Company Culture, Salary & Benefits, Work Life Balance",None
Ircon International,4.0,259,Engineering & Construction,New Delhi +47 other locations,None,None
Miles Education - CPA & CMA Review (Hyderabad),4.3,259,EdTech,Bangalore / Bengaluru +14 other locations,"Company Culture, Work Satisfaction, Skill Development / Learning",None
EVRY India,4.5,259,IT Services & Consulting,Bangalore / Bengaluru +3 other locations,"Work Life Balance, Company Culture, Job Security",None
Health India Tpa Services,3.2,259,Insurance,Mumbai +29 other locations,None,"Promotions / Appraisal, Work Satisfaction, Company Culture"
Avance Consulting Services,4.4,259,N/A,Hyderabad / Secunderabad +7 other locations,"Work Life Balance, Company Culture, Skill Development / Learning",None
Empower Retirement,3.8,259,Financial Services,Bangalore / Bengaluru +4 other locations,"Job Security, Salary & Benefits",Promotions / Appraisal
Shriram Value Services,3.8,258,IT Services & Consulting,Chennai +27 other locations,"Job Security, Company Culture",Salary & Benefits
Madina Group,4.6,258,Oil & Gas,Chennai +18 other locations,"Skill Development / Learning, Work Satisfaction, Company Culture",None
Aeronautical Development Agency,4.4,258,Defence & Aerospace,Bangalore / Bengaluru +5 other locations,"Work Life Balance, Company Culture, Skill Development / Learning",None
Kalkine,4.1,258,Financial Services,Noida +2 other locations,"Work Life Balance, Company Culture, Salary & Benefits",None
DSV - Global Transport and Logistics,4.0,258,Logistics,Mumbai +31 other locations,None,None
ONPASSIVE,3.1,258,IT Services & Consulting,Hyderabad / Secunderabad +8 other locations,None,"Promotions / Appraisal, Job Security, Work Satisfaction"
PowerSchool India,3.7,258,EdTech,Bangalore / Bengaluru +8 other locations,None,Promotions / Appraisal
Metric Stream Infotech,3.2,258,Internet,Bangalore / Bengaluru +3 other locations,None,"Promotions / Appraisal, Job Security, Work Satisfaction"
CESC,3.8,258,Power,Kolkata +15 other locations,Job Security,"Promotions / Appraisal, Salary & Benefits"
doodleblue innovation,4.3,258,IT Services & Consulting,Chennai +3 other locations,"Skill Development / Learning, Company Culture, Work Life Balance",None
Louis Philippe,4.4,258,Fashion & Textile,Bangalore / Bengaluru +68 other locations,"Skill Development / Learning, Company Culture, Work Life Balance",None
TÜV Rheinland,4.0,258,Law Enforcement & Security,Bangalore / Bengaluru +45 other locations,Work Life Balance,Promotions / Appraisal
Merit Data and Technology,3.6,258,IT Services & Consulting,Chennai +6 other locations,None,"Promotions / Appraisal, Job Security, Salary & Benefits"
GSH Group,4.2,258,Facility Management Services,Chennai +32 other locations,"Work Life Balance, Work Satisfaction, Company Culture",None
MSCI,4.0,258,Financial Services,Mumbai +11 other locations,"Salary & Benefits, Company Culture, Work Life Balance",Promotions / Appraisal
