Company name,Rating,Reviews,Company type,Office,Highly Rated For,Critically Rated For
NewAge Software & Solutions,3.4,120,IT Services & Consulting,Chennai +7 other locations,None,"Promotions / Appraisal, Salary & Benefits, Company Culture"
Jamia Hamdard University,4.1,120,Education & Training,New Delhi +2 other locations,"Work Life Balance, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits, Job Security"
Verka milk dairy,4.0,120,Agriculture,Chandigarh +16 other locations,None,"Promotions / Appraisal, Job Security"
Rich Graviss Products,3.9,121,FMCG,Pune +21 other locations,None,Promotions / Appraisal
Lakshmikumaran & Sridharan,3.5,120,Legal,New Delhi +12 other locations,None,"Salary & Benefits, Promotions / Appraisal, Company Culture"
AMPLUS SOLAR,4.4,120,Internet,Gurgaon / Gurugram +13 other locations,"Company Culture, Salary & Benefits, Work Life Balance",None
Talent Corner HR Services,3.9,120,Recruitment,Mumbai +26 other locations,Work Life Balance,"Promotions / Appraisal, Job Security"
Sundyota Numandis Pharmaceuticals,4.2,120,Pharma,Ahmedabad +25 other locations,"Company Culture, Work Life Balance, Job Security",None
Triveni Almirah,3.9,120,Furniture & Furnishing,Noida +13 other locations,"Salary & Benefits, Promotions / Appraisal",None
Elkayem Auto Ancillaries,3.5,120,Industrial Machinery,Hosur +3 other locations,None,"Company Culture, Salary & Benefits, Promotions / Appraisal"
98thPercentile,4.3,120,EdTech,Hyderabad / Secunderabad +3 other locations,"Company Culture, Skill Development / Learning, Work Satisfaction",None
DataTracks,3.3,120,Financial Services,Chennai +3 other locations,None,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits"
Sundyota Numandis Pharmaceuticals,4.2,120,Pharma,Ahmedabad +25 other locations,"Company Culture, Work Life Balance, Job Security",None
Talent Corner HR Services,3.9,120,Recruitment,Mumbai +26 other locations,Work Life Balance,"Promotions / Appraisal, Job Security"
Kartavya Healtheon,4.1,121,Internet,Mumbai +17 other locations,"Company Culture, Work Life Balance, Work Satisfaction",None
Kaefer,4.2,120,Engineering & Construction,Mumbai +14 other locations,"Salary & Benefits, Skill Development / Learning, Job Security",None
Hudson Agile Ventures,3.0,120,IT Services & Consulting,Chennai +8 other locations,None,"Salary & Benefits, Job Security, Promotions / Appraisal"
Pixon Energy,4.1,120,Electrical Equipment,Rajkot +8 other locations,"Salary & Benefits, Company Culture, Work Life Balance",None
yellow.ai,3.1,120,Software Product,Bangalore / Bengaluru +4 other locations,None,"Promotions / Appraisal, Job Security, Skill Development / Learning"
Full Creative,3.5,120,N/A,Chennai +5 other locations,Skill Development / Learning,"Job Security, Promotions / Appraisal, Work Life Balance"
Krishak Bharati Cooperative,4.5,119,Agro Chemicals,Surat +20 other locations,"Job Security, Company Culture, Work Life Balance",None
American India Foundation,4.0,119,Non-Profit,New Delhi +35 other locations,Work Life Balance,"Job Security, Promotions / Appraisal"
Filo Edtech,3.5,119,N/A,Gurgaon / Gurugram +11 other locations,None,"Job Security, Promotions / Appraisal, Salary & Benefits"
DevTown,3.6,119,Education & Training,Bangalore / Bengaluru +8 other locations,None,"Salary & Benefits, Promotions / Appraisal"
KMC Constructions,3.7,119,Engineering & Construction,Hyderabad / Secunderabad +24 other locations,Job Security,"Promotions / Appraisal, Salary & Benefits"
Bhartiya International,3.7,119,Fashion & Textile,Bangalore / Bengaluru +11 other locations,None,"Promotions / Appraisal, Company Culture, Work Satisfaction"
Swiss Garnier Life Sciences,3.5,119,Pharma,Chennai +10 other locations,None,"Promotions / Appraisal, Salary & Benefits, Company Culture"
Kanerika Software,4.6,119,IT Services & Consulting,Hyderabad / Secunderabad +5 other locations,"Company Culture, Job Security, Salary & Benefits",None
iB Hubs,4.2,119,IT Services & Consulting,Kurnool +6 other locations,"Skill Development / Learning, Promotions / Appraisal, Company Culture",None
Jubilant Motorworks,4.2,119,Automobile,Bangalore / Bengaluru +11 other locations,"Company Culture, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
M Tech Innovations,3.6,119,Electronics Manufacturing,Pune +7 other locations,Skill Development / Learning,"Work Life Balance, Salary & Benefits, Promotions / Appraisal"
John Energy,4.1,119,Oil & Gas,Ahmedabad +11 other locations,"Skill Development / Learning, Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
Visen Industries,4.4,119,Chemicals,Mumbai +12 other locations,"Work Life Balance, Work Satisfaction, Job Security",None
Vigour Mobile,3.6,119,Consumer Electronics & Appliances,Gurgaon / Gurugram +23 other locations,None,"Promotions / Appraisal, Salary & Benefits, Company Culture"
Futures Group,4.4,119,Retail,Mumbai +43 other locations,"Work Life Balance, Skill Development / Learning, Company Culture",None
Kepler Healthcare,3.4,119,Pharma,Ahmedabad +38 other locations,None,"Salary & Benefits, Job Security, Promotions / Appraisal"
Amco Batteries,4.2,119,Auto Components,Chennai +23 other locations,"Work Life Balance, Company Culture, Work Satisfaction",Promotions / Appraisal
Creative Garments,3.9,119,Fashion & Textile,Mumbai +13 other locations,Skill Development / Learning,Promotions / Appraisal
Aksh Optifibre,3.6,119,Telecom,New Delhi +12 other locations,None,"Promotions / Appraisal, Job Security, Skill Development / Learning"
Ambuja Cement Foundation,4.0,120,Non-Profit,Jaipur +48 other locations,"Skill Development / Learning, Work Life Balance",Promotions / Appraisal
Midco,3.9,119,Telecom,Mumbai +26 other locations,"Company Culture, Work Satisfaction, Job Security",None
Lilavati Hospital & Research Centre,4.0,119,Healthcare,Mumbai +8 other locations,Skill Development / Learning,"Salary & Benefits, Promotions / Appraisal"
OneCard,3.6,119,FinTech,Pune +7 other locations,None,"Promotions / Appraisal, Work Satisfaction, Company Culture"
